ticker,event_date,pre_vol_30d,post_vol_30d,crush,pre_term_slope,implied_event_move,realized_move
MSFT,2026-07-30,0.448128,0.328401,0.119727,-0.086348,0.075816,0.144159
QQQ,2026-07-30,0.275621,0.245041,0.03058,-0.017917,0.028026,0.032442
SPY,2026-07-30,0.171706,0.139216,0.03249,0.000422,0.0,0.016627
